company_id,type,text
HDFCBANK,Con,Low Return on Equity
HDFCBANK,Pro,Strong Sales Growth
SBILIFE,Con,Low Return on Equity
SBILIFE,Pro,Strong Sales Growth
SBILIFE,Con,Low Return on Equity
SBILIFE,Pro,Strong Sales Growth
SBILIFE,Con,Low Return on Equity
SBILIFE,Pro,Strong Sales Growth
TCS,Pro,High Return on Equity
TCS,Con,Weak Sales Growth
TCS,Pro,High Return on Equity
TCS,Con,Weak Sales Growth
TCS,Pro,High Return on Equity
TCS,Con,Weak Sales Growth
TCS,Pro,High Return on Equity
TCS,Con,Weak Sales Growth
WIPRO,Con,Low Return on Equity
WIPRO,Con,Weak Sales Growth
WIPRO,Con,Low Return on Equity
WIPRO,Con,Weak Sales Growth
WIPRO,Con,Low Return on Equity
WIPRO,Con,Weak Sales Growth
HDFCBANK,Con,Low Return on Equity
HDFCBANK,Pro,Strong Sales Growth
WIPRO,Con,Low Return on Equity
WIPRO,Con,Weak Sales Growth
HDFCBANK,Con,Low Return on Equity
HDFCBANK,Pro,Strong Sales Growth
HDFCBANK,Con,Low Return on Equity
HDFCBANK,Pro,Strong Sales Growth
INFY,Pro,High Return on Equity
INFY,Con,Weak Sales Growth
INFY,Pro,High Return on Equity
INFY,Con,Weak Sales Growth
INFY,Pro,High Return on Equity
INFY,Con,Weak Sales Growth
INFY,Pro,High Return on Equity
INFY,Con,Weak Sales Growth
SBILIFE,Con,Low Return on Equity
SBILIFE,Pro,Strong Sales Growth
