company_id,year,sales,operating_profit,net_profit,other_income,interest,equity,borrowings,total_assets,investments,net_profit_margin,operating_profit_margin,roe_percentage,roa_percentage,debt_to_equity,roce_percentage,interest_coverage_ratio,net_debt,asset_turnover
ABB,Dec 2012,1653,202.0,145,33,0,21.0,0,907,0,8.77,12.22,690.48,15.99,0.0,961.9,,0,1.82
AMBUJACEM,Dec 2012,9749,2473.0,1292,69,78,308.0,60,12345,1581,13.25,25.37,419.48,10.47,0.19,672.01,32.59,-1521,0.79
BOSCHLTD,Dec 2012,8659,1350.0,958,369,6,31.0,230,7902,1529,11.06,15.59,3090.32,12.12,7.42,517.24,286.5,-1299,1.1
EICHERMOT,Dec 2012,6390,550.0,475,136,4,27.0,23,4471,638,7.43,8.61,1759.26,10.62,0.85,1100.0,171.5,-615,1.43
AMBUJACEM,Dec 2013,9161,1669.0,1278,390,67,309.0,48,12956,1714,13.95,18.22,413.59,9.86,0.16,467.51,30.73,-1666,0.71
BOSCHLTD,Dec 2013,8757,1289.0,885,353,0,31.0,183,8891,2202,10.11,14.72,2854.84,9.95,5.9,602.34,,-2019,0.98
EICHERMOT,Dec 2013,6810,715.0,525,93,8,27.0,84,5337,825,7.71,10.5,1944.44,9.84,3.11,644.14,101.0,-741,1.28
NESTLEIND,Dec 2013,9101,1948.0,1117,97,37,96.0,1189,6314,851,12.27,21.4,1163.54,17.69,12.39,151.6,55.27,338,1.44
AMBUJACEM,Dec 2014,9955,1934.0,1487,419,66,310.0,34,13878,2097,14.94,19.43,479.68,10.71,0.11,562.21,35.65,-2063,0.72
EICHERMOT,Dec 2014,8738,1118.0,702,105,10,27.0,58,6403,1078,8.03,12.79,2600.0,10.96,2.15,1315.29,122.3,-1020,1.36
NESTLEIND,Dec 2014,9855,2039.0,1185,87,14,96.0,20,5820,812,12.02,20.69,1234.38,20.36,0.21,1757.76,151.86,-792,1.69
AMBUJACEM,Dec 2015,9437,1542.0,808,353,92,310.0,35,14133,2149,8.56,16.34,260.65,5.72,0.11,446.96,20.6,-2114,0.67
NESTLEIND,Dec 2015,8175,1555.0,563,-391,3,96.0,18,6086,1325,6.89,19.02,586.46,9.25,0.19,1364.04,388.0,-1307,1.34
AMBUJACEM,Dec 2016,20094,3181.0,1434,441,153,397.0,29,32824,175,7.14,15.83,361.21,4.37,0.07,746.71,23.67,-146,0.61
NESTLEIND,Dec 2016,9141,1850.0,1001,140,91,96.0,33,6810,1756,10.95,20.24,1042.71,14.7,0.34,1434.11,21.87,-1723,1.34
AMBUJACEM,Dec 2017,23609,3858.0,1945,335,206,397.0,24,35509,153,8.24,16.34,489.92,5.48,0.06,916.39,20.35,-129,0.66
NESTLEIND,Dec 2017,10010,2097.0,1225,177,92,96.0,35,7363,1979,12.24,20.95,1276.04,16.64,0.36,1600.76,24.72,-1944,1.36
AMBUJACEM,Dec 2018,26041,4011.0,2973,232,170,397.0,40,37391,133,11.42,15.4,748.87,7.95,0.1,917.85,24.96,-93,0.7
NESTLEIND,Dec 2018,11292,2618.0,1607,259,112,96.0,35,8088,2658,14.23,23.18,1673.96,19.87,0.36,1998.47,25.69,-2623,1.4
AMBUJACEM,Dec 2019,27104,4597.0,2783,601,170,397.0,41,40178,150,10.27,16.96,701.01,6.93,0.1,1049.54,30.58,-109,0.67
